date,close,volume,open,high,low
11/12/14,108.75,4889386,108.67,109,108.3862
11/11/14,108.91,6221103,108.88,109.4,108.55
11/10/14,108.82,7571073,108.07,108.92,107.2
11/7/14,108.2,6652566,109,109.03,107.92
11/6/14,109.01,6197525,108.93,109.32,108.55
11/5/14,108.82,6966684,109.05,109.26,107.95
11/4/14,108.62,9348957,107.89,108.73,107.34
11/3/14,107.46,7079953,107.83,108.12,106.75
10/31/14,107.78,10800120,107.94,108.18,107.26
10/30/14,107.04,9065302,105.17,107.05,104.91
10/29/14,105.56,8187545,105,105.56,104.86
10/28/14,104.79,10220600,104.55,104.8,103.56
10/27/14,104.07,7043819,103.07,104.24,103.035
10/24/14,103.13,5972952,102.95,103.29,102.2056
10/23/14,102.63,7383070,102.26,102.98,101.94
10/22/14,101.22,9359974,101.1,101.79,100.52
10/21/14,100.36,7287332,99.83,100.38,99.34
10/20/14,99.2,7988604,98.83,99.2,98.32
10/17/14,98.7,12272820,97.54,99.15,97.31
10/16/14,96.78,14569920,96.97,98,96.5
10/15/14,98.21,21892010,96.05,98.72,95.1
10/14/14,97.01,20805490,100.53,100.9,95.34
10/13/14,99.12,10333100,101.46,101.46,99.02
10/10/14,101.23,9984149,102.35,102.53,101.23
10/9/14,102.08,10675860,104.63,104.86,101.79
10/8/14,104.91,8319863,102.43,105.03,102.0401
10/7/14,102.39,8407554,104.46,104.46,102.34
10/6/14,104.86,5015143,105.68,106,104.365
10/3/14,105.13,6856115,104.23,105.19,104.13
10/2/14,103.85,7565947,104.06,104.54,103.25
10/1/14,104.3,12263710,105.98,106.28,103.95
9/30/14,106.59,6724994,106.5,107.2099,106.45
9/29/14,106.54,6581602,106.38,106.65,106.04
9/26/14,107.1,4467445,107.41,107.49,106.2
9/25/14,107.1,5688223,108.53,108.55,107.07
9/24/14,108.64,5890859,107.7,108.77,107.34
9/23/14,107.46,8104914,107.77,108.1,107.19
9/22/14,107.88,5788326,108,108.25,107.775
9/19/14,107.99,13030320,107.89,108.37,107.62
9/18/14,107.35,6627842,106.18,107.41,106.03
9/17/14,106.19,6437264,105.88,106.63,105.8
9/16/14,105.88,6081327,104.49,105.94,104.3
9/15/14,104.72,4525464,104.59,104.91,104.35
9/12/14,104.58,5929220,104.54,104.805,103.96
